V_ID,Town,Cluster_result,Cluster_name,QoL_Score,Marital status,Population Density,Natural Increase,Social Increase,Housing Price,Income,edu1,edu2,NO2,PM2.5,Hospital,Water,Green,Area,Metro in 300m,Multi Metro in 300m,Metro in 500m,Multi Metro in 500m,Primary School,High School,Gym,Fire station,Police station,Shelter
65000020-020,Sanchong District,2,Outskirt: Influx of New Residents,17.54,0.198327512,0.190193352,0.170872176,0.106746816,0.270662095,0.093515246,0.199108411,0.583088823,0.106880049,0.839858056,0.142857143,0,0,0.001283264,1,0,1,0,0,0,1,0,1,0.007751938
65000020-035,Sanchong District,2,Outskirt: Influx of New Residents,30.17,0.046826632,0.285136342,0.158042115,0.111981536,0.270662095,0.023955173,0.049678893,0.420741133,0.106880049,0.381340733,0.285714286,0,0,0.000183794,1,0,1,0,0,0,0,0,1,0
65000020-021,Sanchong District,2,Outskirt: Influx of New Residents,34.68,0.089557617,0.094150211,0.187953685,0.121026647,0.270662095,0.057234897,0.090962922,0.410778194,0.106880049,0.681706652,0.142857143,0,0,0.00039099,0,0,1,0,0,0,1,0,1,0
65000020-013,Sanchong District,2,Outskirt: Influx of New Residents,9.07,0.134862986,0.295587984,0.182525911,0.110708001,0.270662095,0.062420663,0.132415289,0.505920264,0.054526761,0.839858056,0.142857143,0,0,0.000441754,0,0,1,0,0,0,1,0,1,0
65000020-057,Sanchong District,2,Outskirt: Influx of New Residents,46.1,0.073866955,0.294535384,0.159715209,0.119755255,0.270662095,0.03887185,0.075550291,0.442642738,0.106880049,0.381340733,0.142857143,0,0,0.000225695,1,0,1,0,0,1,0,0,1,0
65000020-036,Sanchong District,2,Outskirt: Influx of New Residents,32.53,0.050562418,0.128789384,0.16300045,0.11268198,0.270662095,0.020096637,0.04948601,0.433257297,0.106880049,0.381340733,0.285714286,0,0,0.000432179,1,0,1,0,0,0,0,0,1,0.003875969
65000020-014,Sanchong District,2,Outskirt: Influx of New Residents,34.01,0.181614493,0.248890187,0.176837378,0.108643046,0.270662095,0.085222788,0.179352313,0.563827446,0.054526761,0.839858056,0.142857143,0,1,0.000793443,0,0,1,0,0,1,1,0,1,0
65000020-077,Sanchong District,2,Outskirt: Influx of New Residents,2.62,0.11544366,0.241276629,0.143882862,0.11174553,0.270662095,0.042433396,0.110923095,0.556373443,0.128320883,0.839858056,0.285714286,0,0,0.000517177,0,0,0,0,0,1,0,0,1,0
65000020-078,Sanchong District,2,Outskirt: Influx of New Residents,8.47,0.165163306,0.3021279,0.181128826,0.111981536,0.270662095,0.060676445,0.15858383,0.608938775,0.06346393,0.839858056,0.142857143,0,1,0.00055793,0,0,0,0,0,1,0,0,1,0.003875969
65000020-110,Sanchong District,2,Outskirt: Influx of New Residents,2.35,0.14000733,0.330455229,0.190574459,0.106746816,0.270662095,0.052729651,0.134465625,0.56259586,0.06346393,0.847833973,0,0,0,0.000471304,0,0,0,0,0,1,0,0,1,0
