index,County Name,Township Name,Village Name,QoL,Child Dependency Ratio,Elderly Dependency Ratio,Social Increase,Average Income,Metro 300 Multi,Metro 500 Multi,V_ID
新北市中和區平河里,新北市,中和區,平河里,2.86303978542706,0.2,0.1,0.5,0.3,0.0,1.0,65000030-002
新北市中和區廟美里,新北市,中和區,廟美里,3.6066671887696327,0.3,0.4,0.2,0.2,0.0,0.0,65000030-012
新北市中和區建和里,新北市,中和區,建和里,1.960047632635303,0.2,0.4,0.2,0.3,0.0,0.0,65000030-006
新北市中和區復興里,新北市,中和區,復興里,0.08568789801449575,0.4,0.4,0.2,0.3,0.0,0.0,65000030-045
新北市中和區德穗里,新北市,中和區,德穗里,1.229389875344201,0.2,0.4,0.3,0.3,0.0,0.0,65000030-067
新北市中和區德行里,新北市,中和區,德行里,1.3282216407164644,0.4,0.1,0.1,0.4,0.0,0.0,65000030-073
新北市中和區忠孝里,新北市,中和區,忠孝里,1.8519996500100684,0.2,0.4,0.2,0.2,0.0,0.0,65000030-038
新北市中和區文元里,新北市,中和區,文元里,0.8770675760833667,0.4,0.4,0.2,0.2,0.0,0.0,65000030-059
新北市中和區新南里,新北市,中和區,新南里,0.453655477577075,0.2,0.2,0.1,0.4,0.0,0.0,65000030-025
新北市中和區明德里,新北市,中和區,明德里,1.740879848086876,0.4,0.3,0.3,0.2,0.0,0.0,65000030-071
新北市中和區明穗里,新北市,中和區,明穗里,1.092650582910895,0.4,0.2,0.2,0.3,0.0,0.0,65000030-064
新北市中和區景南里,新北市,中和區,景南里,4.538506579014986,0.2,0.3,0.2,0.3,0.0,1.0,65000030-040
新北市中和區景安里,新北市,中和區,景安里,2.7069509910700713,0.2,0.3,0.5,0.4,0.0,1.0,65000030-050
新北市中和區景平里,新北市,中和區,景平里,1.7908231060816207,0.1,0.3,0.3,0.3,0.0,1.0,65000030-047
新北市中和區景文里,新北市,中和區,景文里,3.0407584571376725,0.2,0.3,0.5,0.4,0.0,0.0,65000030-051
新北市中和區景新里,新北市,中和區,景新里,1.3156566656892346,0.1,0.4,0.3,0.3,0.0,0.0,65000030-048
新北市中和區景本里,新北市,中和區,景本里,1.796959336251454,0.1,0.4,0.3,0.2,0.0,1.0,65000030-079
新北市中和區景福里,新北市,中和區,景福里,2.114002050034971,0.2,0.4,0.5,0.4,0.0,1.0,65000030-049
新北市中和區東南里,新北市,中和區,東南里,3.331642001840427,0.2,0.5,0.4,0.3,0.0,0.0,65000030-036
新北市中和區枋寮里,新北市,中和區,枋寮里,3.000600065034111,0.2,0.3,0.3,0.3,0.0,0.0,65000030-010
新北市中和區橫路里,新北市,中和區,橫路里,0.013100532825054259,0.1,0.5,0.4,0.1,0.0,0.0,65000030-041
