V_ID,QoL_PR
63000020-040,62.43
63000020-038,85.95
63000100-022,94.02
63000100-009,72.78
63000100-025,13.71
63000100-040,94.76
63000100-012,71.57
63000100-033,13.84
63000100-031,63.78
63000100-039,90.26
63000100-035,85.28
63000100-036,84.74
63000100-023,43.01
63000100-024,6.79
63000100-017,83.2
63000100-005,95.83
63000100-007,90.73
63000100-008,87.23
63000100-006,75.4
63000100-030,86.49
63000100-010,89.25
63000100-029,59.21
63000100-021,76.68
63000100-020,93.28
63000100-028,69.15
63000100-015,55.71
63000100-032,78.9
63000100-011,82.19
63000100-019,89.52
63000100-016,70.43
63000100-018,89.85
63000100-037,89.58
63000100-027,86.56
63000100-003,93.95
63000100-002,93.01
63000100-001,91.33
63000100-026,71.84
63000100-034,96.71
63000100-014,18.62
63000100-013,68.95
63000100-038,94.56
63000120-037,76.21
63000120-030,14.52
63000120-022,67.88
63000120-028,80.71
63000120-027,68.62
63000120-018,80.91
63000120-013,52.96
63000120-014,17.94
63000120-024,80.98
63000120-041,35.69
63000120-020,82.26
63000120-015,42.47
63000120-001,87.1
63000120-008,48.92
63000120-033,78.36
63000120-002,33.67
63000120-031,34.14
63000120-012,87.5
63000120-026,60.22
63000120-036,80.65
63000120-005,58.27
63000120-006,81.65
63000120-009,5.98
63000120-011,17.61
63000120-010,35.82
63000120-039,2.28
63000120-019,20.7
63000120-021,47.85
63000120-040,14.38
63000120-042,15.52
63000120-025,64.25
63000120-003,24.93
63000120-004,55.65
63000120-032,10.95
63000120-035,62.77
63000120-016,69.69
63000120-017,62.97
63000120-007,47.45
63000120-034,65.19
63000120-023,79.64
63000120-029,66.47
63000120-038,36.96
63000090-004,99.33
63000090-002,79.77
63000090-017,32.66
63000090-018,6.59
63000090-019,44.69
63000090-001,77.22
63000090-010,85.08
63000090-011,74.13
63000090-006,83.47
63000090-003,81.99
63000090-005,45.16
63000090-007,88.71
63000090-009,89.31
63000090-014,38.71
63000090-015,84.41
63000090-016,4.84
63000090-012,78.7
63000090-008,62.23
63000090-020,85.15
63000090-013,79.5
63000110-033,44.89
63000110-001,90.93
63000110-044,6.99
63000110-010,90.59
63000110-026,82.53
63000110-039,11.16
63000110-038,29.1
63000110-040,7.86
63000110-042,41.06
63000110-041,11.22
63000110-037,17.88
63000110-036,20.77
63000110-016,18.68
63000110-024,16.26
63000110-025,60.28
63000110-048,10.82
63000110-008,68.28
63000110-028,79.3
63000110-027,69.56
63000110-030,56.38
63000110-012,65.73
63000110-045,19.15
63000110-014,80.85
63000110-032,14.11
63000110-022,2.89
63000110-043,49.26
63000110-049,13.04
63000110-011,66.33
63000110-021,1.88
63000110-019,44.62
63000110-020,4.03
63000110-009,73.79
63000110-007,93.41
63000110-023,23.66
63000110-004,81.45
63000110-005,72.31
63000110-003,93.55
63000110-013,56.92
63000110-015,50.74
63000110-002,97.98
63000110-050,47.98
63000110-029,6.85
63000110-051,39.25
63000110-006,78.29
63000110-031,35.62
63000110-047,10.75
63000110-018,48.52
63000110-017,30.65
63000110-035,75.87
63000110-034,48.72
63000110-046,31.05
63000060-026,75.34
63000060-008,97.58
63000060-012,95.09
63000060-018,88.64
63000060-017,74.33
63000060-009,63.91
63000060-010,74.8
63000060-003,88.44
63000060-002,97.92
63000060-004,96.37
63000060-019,77.76
63000060-020,87.63
63000060-007,91.47
63000060-014,85.69
63000060-006,68.82
63000060-013,99.46
63000060-005,92.88
63000060-001,99.4
63000060-024,64.52
63000060-022,85.48
63000060-016,94.49
63000060-021,45.09
63000060-025,90.66
63000060-015,89.99
63000060-011,97.65
63000030-005,96.03
63000030-002,92.47
63000030-029,90.32
63000030-056,95.56
63000030-019,92.67
63000030-010,97.85
63000030-035,90.52
63000030-014,91.4
63000030-013,86.83
63000030-003,97.72
63000030-043,95.9
63000030-057,94.69
63000030-050,96.77
63000030-049,96.57
63000030-001,96.98
63000030-051,97.78
63000030-053,97.45
63000030-023,77.28
63000030-008,59.41
63000030-052,89.11
63000030-004,97.31
63000030-007,94.83
63000030-018,79.1
63000030-034,85.22
63000030-017,97.04
63000030-037,65.93
63000030-036,86.9
63000030-030,91.13
63000030-006,92.2
63000030-039,88.37
63000030-033,42.2
63000030-044,59.81
63000030-054,66.67
63000030-038,60.75
63000030-009,69.62
63000030-055,98.12
63000030-031,45.03
63000030-032,82.59
63000030-016,86.76
63000030-020,93.68
63000030-021,94.89
63000030-046,28.49
63000030-048,64.38
63000030-047,37.77
63000030-022,90.19
63000030-011,87.03
63000030-015,83
63000030-012,71.91
63000030-040,92.14
63000030-028,80.38
63000030-041,92.74
63000030-026,88.24
63000030-027,95.16
63000080-034,86.63
63000080-038,64.85
63000080-036,20.5
63000080-040,73.39
63000080-025,43.88
63000080-026,65.12
63000080-005,98.66
63000080-004,92.34
63000080-002,75.07
63000080-003,90.05
63000080-006,87.43
63000080-001,87.97
63000080-028,13.17
63000080-027,88.04
63000080-041,54.1
63000080-031,61.16
63000080-030,47.58
63000080-043,27.96
63000080-032,55.44
63000080-037,60.82
