VILLCODE,COUNTYNAME,TOWNNAME,VILLNAME,VILLENG,COUNTYID,COUNTYCODE,TOWNID,TOWNCODE,NOTE,105green,105water,108green,109green,110green,107green,106green,m109300,m109300s,m109500,m109500m,m108300,m108300s,m108500,m108500m,m107300,m107300s,m107500s,m107500m,m106300,m106300s,m106500,m106500s,m105300,m105300s,m105500,m105500s,fire,police,primary,secondary,gym,area
"63000060002",臺北市,大同區,建明里,Jianming Vil.,A,"63000",A09,"63000060",,"0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","149725"
"63000010022",臺北市,松山區,吉祥里,Jixiang Vil.,A,"63000",A01,"63000010",,"0","0","0","0","0","0","0","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1","1","1",,"216800"
"63000010033",臺北市,松山區,復勢里,Fushi Vil.,A,"63000",A01,"63000010",,"0","0","0","0","0","0","0","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1","1","1","1","130265"
"63000010028",臺北市,松山區,美仁里,Meiren Vil.,A,"63000",A01,"63000010",,"1","0","1","1","1","1","0","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1","1","1","1","220408"
"63000040039",臺北市,中山區,力行里,Lixing Vil.,A,"63000",A10,"63000040",,"0","0","0","0","0","0","0","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1","1","1",,"292244"
"65000070031",新北市,樹林區,光興里,Guangxing Vil.,F,"65000",F17,"65000070",,"1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,"1","1","1","1",,"1154912"
"65000040044",新北市,永和區,和平里,Heping Vil.,F,"65000",F33,"65000040",,"0","0","0","0","0","0","0",,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,"1","1","1",,"108357"
"65000010003",新北市,板橋區,赤松里,Chisong Vil.,F,"65000",F14,"65000010",,"0","0","0","0","0","0","0","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1",,,,"16222"
"65000040003",新北市,永和區,豫溪里,Yuxi Vil.,F,"65000",F33,"65000040",,"0","0","0","0","0","0","0",,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,"1","1","1",,"75382"
"65000180006",新北市,深坑區,埔新里,Puxin Vil.,F,"65000",F09,"65000180",,"1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,"1","1","1","1",,"463658"
"65000040043",新北市,永和區,前溪里,Qianxi Vil.,F,"65000",F33,"65000040",,"0","0","0","0","0","0","0",,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,"1","1","1",,"49756"
"65000070004",新北市,樹林區,圳安里,Zun'an Vil.,F,"65000",F17,"65000070",,"1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,"1","1","1",,"1","574905"
"65000010001",新北市,板橋區,留侯里,Liuhou Vil.,F,"65000",F14,"65000010",,"0","0","0","0","1","0","0",,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,"1","1",,,,"63631"
"65000030088",新北市,中和區,員富里,Yuanfu Vil.,F,"65000",F18,"65000030",,"0","0","0","0","0","0","0","1",,"1",,"1",,"1",,,,"1",,,,"1",,,,,,"1","1","1",,,"203058"
"65000040023",新北市,永和區,竹林里,Zhulin Vil.,F,"65000",F33,"65000040",,"0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"1","1","1",,"69908"
"65000010016",新北市,板橋區,金華里,Jinhua Vil.,F,"65000",F14,"65000010",,"0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"1",,"1","1","67435"
"65000010026",新北市,板橋區,介壽里,Jieshou Vil.,F,"65000",F14,"65000010",,"0","0","0","0","0","0","0","1",,"1","1","1",,"1","1","1",,"1",,"1",,"1","1","1",,"1",,"1","1",,"1",,"80926"
"65000050071",新北市,新莊區,成德里,Chengde Vil.,F,"65000",F01,"65000050",,"0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,"1","1","1","1",,"117812"
65000040R01,新北市,永和區,,,F,"65000",F33,"65000040",未編定村里,"1","1","1","1","1","1","1",,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,"1","1","1","1","1","1755364"
65000260P02,新北市,貢寮區,,,F,"65000",F24,"65000260",未編定村里,"0","0","0","0","1","0","0",,,,,,,,,,,,,,,,,,,,,"1","1","1",,,"6904"
"65000050079",新北市,新莊區,龍福里,Longfu Vil.,F,"65000",F01,"65000050",,"1","0","0","0","0","0","0","1",,"1",,"1",,,,"1",,,,"1",,,,"1",,,,,"1","1",,,"43609"
"65000010064",新北市,板橋區,廣新里,Guangxin Vil.,F,"65000",F14,"65000010",,"0","0","1","1","1","1","0",,,"1",,,,"1",,,,"1",,,,"1",,,,,,"1",,,"1",,"73279"
"65000050032",新北市,新莊區,民安里,Min'an Vil.,F,"65000",F01,"65000050",,"0","0","0","0","1","0","0",,,,,,,,,,,,,,,,,,,,,"1","1","1",,,"84593"
"65000010121",新北市,板橋區,莊敬里,Zhuangjing Vil.,F,"65000",F14,"65000010",,"0","0","1","1","1","0","0","1",,"1","1","1",,"1","1","1",,"1",,"1",,"1","1","1",,"1",,"1","1",,"1",,"82007"
