VILLCODE,COUNTYNAME,TOWNNAME,VILLNAME,COUNTYCODE,TOWNCODE,105green,105water,108green,109green,110green,107green,106green,m109300,m109300s,m109500,m109500s,m108300,m108300s,m108500,m108500s,m107300,m107300s,m107500,m107500s,m106300,m106300s,m106500,m106500s,m105300,m105300s,m105500,m105500s,fire,police,primary,secondary,gym,area
"63000010024",臺北市,松山區,新聚里,"63000","63000010","0","0","0","0","0","0","0","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1","1","1",,"149765"
"63000060002",臺北市,大同區,建明里,"63000","63000060","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","149725"
"63000010022",臺北市,松山區,吉祥里,"63000","63000010","0","0","0","0","0","0","0","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1","1","1",,"216800"
"63000010033",臺北市,松山區,復勢里,"63000","63000010","0","0","0","0","0","0","0","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1","1","1","1","130265"
"63000010028",臺北市,松山區,美仁里,"63000","63000010","1","0","1","1","1","1","0","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1","1","1","1","220408"
"63000040039",臺北市,中山區,力行里,"63000","63000040","0","0","0","0","0","0","0","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1","1","1",,"292244"
"65000070031",新北市,樹林區,光興里,"65000","65000070","1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,"1","1","1","1",,"1154912"
"65000040044",新北市,永和區,和平里,"65000","65000040","0","0","0","0","0","0","0",,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,"1","1","1",,"108357"
"65000010003",新北市,板橋區,赤松里,"65000","65000010","0","0","0","0","0","0","0","1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1",,"1","1",,,,"16222"
"65000040003",新北市,永和區,豫溪里,"65000","65000040","0","0","0","0","0","0","0",,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,"1","1","1",,"75382"
"65000180006",新北市,深坑區,埔新里,"65000","65000180","1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,"1","1","1","1",,"463658"
"65000040043",新北市,永和區,前溪里,"65000","65000040","0","0","0","0","0","0","0",,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,"1","1","1",,"49756"
"65000070004",新北市,樹林區,圳安里,"65000","65000070","1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,"1","1","1",,"1","574905"
"65000010001",新北市,板橋區,留侯里,"65000","65000010","0","0","0","0","1","0","0",,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,"1","1",,,,"63631"
"65000030088",新北市,中和區,員富里,"65000","65000030","0","0","0","0","0","0","0","1",,"1",,"1",,"1",,,,"1",,,,"1",,,,,,"1","1","1",,,"203058"
"65000040023",新北市,永和區,竹林里,"65000","65000040","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"1","1","1",,"69908"
"65000010016",新北市,板橋區,金華里,"65000","65000010","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"1",,"1","1","67435"
"65000010026",新北市,板橋區,介壽里,"65000","65000010","0","0","0","0","0","0","0","1",,"1","1","1",,"1","1","1",,"1",,"1",,"1","1","1",,"1",,"1","1",,"1",,"80926"
"65000050071",新北市,新莊區,成德里,"65000","65000050","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,"1","1","1","1",,"117812"
65000040R01,新北市,永和區,,"65000","65000040","1","1","1","1","1","1","1",,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,"1","1","1","1","1","1755364"
65000260P02,新北市,貢寮區,,"65000","65000260","0","0","0","0","1","0","0",,,,,,,,,,,,,,,,,,,,,"1","1","1",,,"6904"
"65000050079",新北市,新莊區,龍福里,"65000","65000050","1","0","0","0","0","0","0","1",,"1",,"1",,,,"1",,,,"1",,,,"1",,,,,"1","1",,,"43609"
"65000010064",新北市,板橋區,廣新里,"65000","65000010","0","0","1","1","1","1","0",,,"1",,,,"1",,,,"1",,,,"1",,,,,,"1",,,"1",,"73279"
"65000050032",新北市,新莊區,民安里,"65000","65000050","0","0","0","0","1","0","0",,,,,,,,,,,,,,,,,,,,,"1","1","1",,,"84593"
"65000010121",新北市,板橋區,莊敬里,"65000","65000010","0","0","1","1","1","0","0","1",,"1","1","1",,"1","1","1",,"1",,"1",,"1","1","1",,"1",,"1","1",,"1",,"82007"
"65000010089",新北市,板橋區,浮洲里,"65000","65000010","1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,"1","1",,"1",,"730705"
"65000050067",新北市,新莊區,龍安里,"65000","65000050","1","0","1","1","1","0","0",,,,,,,,,,,,,,,,,,,,,"1","1","1","1",,"66989"
"65000020117",新北市,三重區,福樂里,"65000","65000020","0","0","0","0","0","0","0","1",,"1","1","1",,"1","1","1",,"1","1","1",,"1","1","1",,"1","1",,"1",,"1",,"73212"
"65000020090",新北市,三重區,永清里,"65000","65000020","0","0","1","0","1","0","0","1",,"1","1","1",,"1","1","1",,"1","1","1",,"1","1","1",,"1","1",,"1",,"1",,"82816"
"65000140026",新北市,蘆洲區,得仁里,"65000","65000140","0","0","1","1","1","0","0",,,,,,,,,,,,,,,,,,,,,,"1","1",,,"368779"
"65000020098",新北市,三重區,慈福里,"65000","65000020","0","0","0","0","0","0","0","1",,"1","1","1",,"1","1","1",,"1","1","1",,"1","1","1",,"1","1",,"1",,"1",,"26938"
"65000140036",新北市,蘆洲區,延平里,"65000","65000140","0","0","1","1","1","0","0",,,,,,,,,,,,,,,,,,,,,,"1",,,,"61093"
"65000110014",新北市,汐止區,江北里,"65000","65000110","1","1","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,"1","1","1","1",,"1385818"
"65000020093",新北市,三重區,溪美里,"65000","65000020","0","0","0","1","1","0","0",,,"1",,,,"1",,,,"1",,,,"1",,,,"1",,,"1",,"1",,"174802"
"65000020099",新北市,三重區,慈生里,"65000","65000020","0","0","0","0","0","0","0","1",,"1","1","1",,"1","1","1",,"1","1","1",,"1","1","1",,"1","1",,"1",,"1",,"58565"
"65000110010",新北市,汐止區,長安里,"65000","65000110","1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,,"1","1",,,"428241"
"65000120017",新北市,瑞芳區,碩仁里,"65000","65000120","1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,,,,,,"7922829"
65000280P03,新北市,萬里區,,"65000","65000280","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,"1",,,,"14776"
"65000100033",新北市,淡水區,沙崙里,"65000","65000100","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",,,,,,,,,,,"1","1",,,"2756675"
"65000100009",新北市,淡水區,埤島里,"65000","65000100","1","0","1","1","1","1","1","1",,"1","1","1",,"1","1","1",,"1",,,,,,,,,,,,"1",,,"2370247"
"65000100014",新北市,淡水區,忠寮里,"65000","65000100","1","0","1","1","1","1","1",,,,,,,,,,,,,,,,,,,,,,"1","1",,,"3106249"
